tagID,datetime,event
2364,2019-08-07 16:38:25.450,entering-exiting
270,2019-08-07 16:38:45.600,exiting-entering
923,2019-08-07 16:39:27.250,exiting
2973,2019-08-07 16:41:01.850,exiting
436,2019-08-07 16:41:06.900,exiting
2727,2019-08-07 16:41:57.600,exiting
2858,2019-08-07 16:43:48.500,exiting
670,2019-08-07 16:45:23.400,exiting
2701,2019-08-07 16:46:57.200,exiting-entering
608,2019-08-07 16:47:12.600,exiting
2701,2019-08-07 16:48:32.400,exiting-entering
733,2019-08-07 16:48:30.900,exiting
2701,2019-08-07 16:49:07.200,exiting-entering
1414,2019-08-07 16:49:07.400,exiting
699,2019-08-07 16:49:10.550,exiting
2701,2019-08-07 16:49:56.850,exiting-entering
1414,2019-08-07 16:49:32.400,exiting
733,2019-08-07 16:49:57.350,entering
922,2019-08-07 16:50:03.800,exiting
332,2019-08-07 16:51:40.050,exiting-entering
25,2019-08-07 16:50:43.800,entering
503,2019-08-07 16:51:18.750,exiting
2393,2019-08-07 16:51:30.600,exiting
2701,2019-08-07 16:52:14.650,exiting-entering
332,2019-08-07 16:53:53.000,exiting-entering
2701,2019-08-07 16:53:15.900,exiting-entering
2952,2019-08-07 16:53:43.400,exiting
922,2019-08-07 16:53:48.400,entering
382,2019-08-07 16:54:01.000,exiting-entering
382,2019-08-07 16:54:16.200,exiting-entering
2289,2019-08-07 16:54:11.900,exiting
2471,2019-08-07 16:55:25.950,exiting
2471,2019-08-07 16:55:40.600,entering-exiting
2701,2019-08-07 16:58:17.950,exiting
2356,2019-08-07 16:56:53.400,entering
608,2019-08-07 16:57:39.950,entering
954,2019-08-07 16:58:27.900,entering
2701,2019-08-07 16:58:32.700,entering
2364,2019-08-07 16:58:34.900,exiting
608,2019-08-07 16:59:01.800,exiting-entering
2701,2019-08-07 16:59:37.850,exiting-entering
922,2019-08-07 16:59:41.100,exiting
1148,2019-08-07 16:59:57.900,exiting
922,2019-08-07 16:59:51.700,entering
2687,2019-08-07 16:59:52.000,exiting
2701,2019-08-07 16:59:59.950,exiting-entering
704,2019-08-08 11:00:39.400,exiting
397,2019-08-08 11:01:44.400,entering
700,2019-08-08 11:02:56.900,exiting
2673,2019-08-08 11:04:31.400,exiting
2778,2019-08-08 11:05:22.150,exiting
572,2019-08-08 11:06:02.050,exiting
2358,2019-08-08 11:06:49.800,exiting-entering
572,2019-08-08 11:07:07.450,entering
2364,2019-08-08 11:07:17.300,exiting
2662,2019-08-08 11:07:25.000,exiting
799,2019-08-08 11:07:35.250,entering
629,2019-08-08 11:08:29.350,exiting
2380,2019-08-08 11:08:42.900,exiting
677,2019-08-08 11:08:58.050,entering-exiting
1508,2019-08-08 11:09:25.150,exiting
568,2019-08-08 11:09:54.350,entering
420,2019-08-08 11:10:18.800,exiting
1686,2019-08-08 11:10:36.000,exiting
1697,2019-08-08 11:10:58.300,exiting
1741,2019-08-08 11:11:24.200,exiting
2543,2019-08-08 11:11:44.150,exiting
2663,2019-08-08 11:11:44.900,entering
2712,2019-08-08 11:12:04.450,entering
1686,2019-08-08 11:12:41.600,entering
2674,2019-08-08 11:13:03.200,exiting
399,2019-08-08 11:14:10.200,exiting
2358,2019-08-08 11:14:21.550,exiting
278,2019-08-08 11:14:50.600,exiting
2712,2019-08-08 11:15:43.800,exiting
1447,2019-08-08 11:17:18.750,exiting
266,2019-08-08 11:18:33.450,entering
2700,2019-08-08 11:18:52.200,exiting
2884,2019-08-08 11:18:54.000,exiting-entering
607,2019-08-08 11:18:54.800,entering
2884,2019-08-08 11:19:13.750,exiting
779,2019-08-08 11:19:18.650,exiting
2663,2019-08-08 11:20:18.800,exiting
611,2019-08-08 11:20:24.450,exiting
668,2019-08-08 11:21:55.000,exiting
2673,2019-08-08 11:21:52.950,entering
2364,2019-08-08 11:22:16.000,entering-exiting
607,2019-08-08 11:22:19.850,exiting
527,2019-08-08 11:22:44.700,exiting-entering
668,2019-08-08 11:22:53.600,entering
2364,2019-08-08 11:24:13.200,entering-exiting
384,2019-08-08 11:24:00.700,exiting
668,2019-08-08 11:24:45.100,exiting-entering
668,2019-08-08 11:25:43.300,exiting
799,2019-08-08 11:25:08.600,exiting
668,2019-08-08 11:26:06.500,entering
668,2019-08-08 11:26:49.200,exiting-entering
879,2019-08-08 11:28:54.000,exiting
677,2019-08-08 11:31:45.400,exiting
397,2019-08-08 11:32:08.250,exiting
823,2019-08-08 11:33:11.250,exiting
2262,2019-08-08 11:34:19.200,exiting-entering
2364,2019-08-08 11:35:56.550,entering-exiting
845,2019-08-08 11:36:26.950,entering
2662,2019-08-08 11:36:52.900,entering
677,2019-08-08 11:37:47.900,exiting-entering
1508,2019-08-08 11:38:07.800,entering
891,2019-08-08 11:38:37.200,exiting
1546,2019-08-08 11:39:10.250,exiting
2364,2019-08-08 11:39:20.800,exiting
2827,2019-08-08 11:42:04.600,exiting
704,2019-08-08 11:42:40.750,exiting
988,2019-08-08 11:45:14.350,entering-exiting
2364,2019-08-08 11:45:29.000,entering
2321,2019-08-08 11:45:42.700,exiting
2321,2019-08-08 11:45:50.050,entering
2364,2019-08-08 11:46:28.200,exiting-entering
2364,2019-08-08 11:46:37.200,exiting-entering
699,2019-08-08 11:50:27.500,exiting
699,2019-08-08 11:50:48.950,entering-exiting
2321,2019-08-08 11:51:39.400,exiting
2356,2019-08-08 11:52:07.100,exiting
668,2019-08-08 11:54:10.150,exiting-entering
527,2019-08-08 11:54:12.800,exiting
2778,2019-08-08 11:56:08.600,entering
1473,2019-08-08 11:56:32.850,exiting
668,2019-08-08 11:57:49.000,exiting
845,2019-08-08 11:58:19.500,exiting
568,2019-08-08 11:58:40.550,exiting
2997,2019-08-08 12:00:26.200,exiting
449,2019-08-08 12:01:29.050,exiting
397,2019-08-08 12:03:34.300,exiting
618,2019-08-08 12:04:14.550,exiting-entering
771,2019-08-08 12:04:10.800,exiting
2673,2019-08-08 12:04:16.250,entering
857,2019-08-08 12:04:34.150,entering-exiting
2364,2019-08-08 12:04:51.600,exiting-entering
2364,2019-08-08 12:05:27.700,exiting
771,2019-08-08 12:05:44.550,entering
2364,2019-08-08 12:06:53.500,entering
2364,2019-08-08 12:07:05.550,exiting
472,2019-08-08 12:07:06.750,exiting
2673,2019-08-08 12:08:18.700,exiting
399,2019-08-08 12:08:37.650,entering
2364,2019-08-08 12:09:22.800,entering
2364,2019-08-08 12:09:42.650,exiting
2364,2019-08-08 12:11:13.700,entering-exiting
2364,2019-08-08 12:11:28.050,entering
2364,2019-08-08 12:11:48.950,exiting-entering
799,2019-08-08 12:12:44.950,entering
176,2019-08-08 12:13:07.650,exiting
527,2019-08-08 12:13:06.550,exiting
176,2019-08-08 12:13:30.200,entering-exiting
399,2019-08-08 12:13:30.500,exiting
1796,2019-08-08 12:17:19.450,entering
